Posizione,Squadra,Partite,V,P,S,Punti
1,Manchester United,1228,744,269,215,2501
2,FC Arsenal,1228,673,295,260,2314
3,FC Liverpool,1228,652,302,274,2258
4,Chelsea FC,1228,647,304,277,2245
5,Tottenham Hotspur,1228,540,293,395,1913
6,Manchester City,1038,529,222,287,1809
7,FC Everton,1228,439,341,448,1650
8,Newcastle United,1110,419,284,407,1541
9,Aston Villa,1114,392,311,411,1487
10,West Ham United,1072,360,270,442,1350
11,FC Southampton,924,280,248,396,1088
12,Blackburn Rovers,696,262,184,250,970
13,Leicester City,650,218,167,265,821
14,Leeds United,582,223,151,208,820
15,FC Fulham,646,190,169,287,739
16,FC Middlesbrough,574,165,169,240,661
17,Crystal Palace,578,169,151,258,658
18,AFC Sunderland,608,153,159,296,618
19,Bolton Wanderers,494,149,128,217,575
20,West Bromwich Albion,494,117,139,238,490
21,Stoke City,380,116,109,155,457
22,Wolverhampton Wanderers,380,114,93,173,435
23,Coventry City,354,99,112,143,409
24,Norwich City,392,99,105,188,402
25,Sheffield Wednesday,316,101,89,126,392
26,Wimbledon FC (- 2004),301,96,86,119,374
27,Charlton Athletic,304,93,82,129,361
28,FC Burnley,342,88,85,169,349
29,Wigan Athletic,304,85,76,143,331
30,Brighton & Hove Albion,266,78,85,103,319
31,Swansea City,266,82,66,118,312
32,Nottingham Forest,274,78,79,117,309
33,Queens Park Rangers,278,81,65,132,308
34,Birmingham City,266,73,82,111,301
35,AFC Bournemouth,266,80,58,128,298
36,FC Portsmouth,266,79,65,122,293
37,FC Watford,304,73,66,165,285
38,Derby County,266,68,70,128,274
39,Sheffield United,236,56,57,123,225
40,Ipswich Town,202,57,53,92,224
41,Hull City,190,41,48,101,171
42,FC Brentford,114,38,30,46,144
43,FC Reading,114,32,23,59,119
44,Oldham Athletic,84,22,23,39,89
45,Cardiff City,76,17,13,46,64
46,Bradford City,76,14,20,42,62
47,Huddersfield Town,76,12,17,47,53
48,FC Blackpool,38,10,9,19,39
49,Barnsley FC,38,10,5,23,35
50,Swindon Town,42,5,15,22,30
51,Luton Town,38,6,8,24,26
