Stagione,Vincitore,Titoli,Anno
1992/93,Manchester United,1,1992
1993/94,Manchester United,2,1993
1994/95,Blackburn Rovers,1,1994
1995/96,Manchester United,3,1995
1996/97,Manchester United,4,1996
1997/98,FC Arsenal,1,1997
1998/99,Manchester United,5,1998
1999/00,Manchester United,6,1999
2000/01,Manchester United,7,2000
2001/02,FC Arsenal,2,2001
2002/03,Manchester United,8,2002
2003/04,FC Arsenal,3,2003
2004/05,Chelsea FC,1,2004
2005/06,Chelsea FC,2,2005
2006/07,Manchester United,9,2006
2007/08,Manchester United,10,2007
2008/09,Manchester United,11,2008
2009/10,Chelsea FC,3,2009
2010/11,Manchester United,12,2010
2011/12,Manchester City,1,2011
2012/13,Manchester United,13,2012
2013/14,Manchester City,2,2013
2014/15,Chelsea FC,4,2014
2015/16,Leicester City,1,2015
2016/17,Chelsea FC,5,2016
2017/18,Manchester City,3,2017
2018/19,Manchester City,4,2018
2019/20,FC Liverpool,1,2019
2020/21,Manchester City,5,2020
2021/22,Manchester City,6,2021
2022/23,Manchester City,7,2022
2023/24,Manchester City,8,2023
