Stagione,Capocannoniere,Gol,Squadra,Multipli,Anno
1992/93,Teddy Sheringham,22,FC Tottenham Hotspur,0,1992
1993/94,Andrew Cole,34,FC Newcastle United,0,1993
1994/95,Alan Shearer,34,Blackburn Rovers,0,1994
1995/96,Alan Shearer,31,Blackburn Rovers,0,1995
1996/97,Alan Shearer,22,FC Newcastle United,0,1996
1997/98,Dion Dublin,18,Coventry City,1,1997
1998/99,Dwite Yorke,18,Manchester United,1,1998
1999/00,Kevin Phillips,30,Sunderland AFC,0,1999
2000/01,Jimmy Floyd Hasselbaink,23,Chelsea FC,0,2000
2001/02,Thierry Henry,24,FC Arsenal,0,2001
2002/03,Ruud van Nistelrooy,25,Manchester United,0,2002
2003/04,Thierry Henry,30,FC Arsenal,0,2003
2004/05,Thierry Henry,25,FC Arsenal,0,2004
2005/06,Thierry Henry,27,FC Arsenal,0,2005
2006/07,Didier Drogba,20,Chelsea FC,0,2006
2007/08,Cristiano Ronaldo,31,Manchester United,0,2007
2008/09,Nicolas Anelka,19,Chelsea FC,0,2008
2009/10,Didier Drogba,29,Chelsea FC,0,2009
2010/11,Dimitar Berbatov,21,Manchester United,1,2010
2011/12,Robin van Persie,30,FC Arsenal,0,2011
2012/13,Robin van Persie,26,Manchester United,0,2012
2013/14,Luis Suárez,31,FC Liverpool,0,2013
2014/15,Sergio Agüero,26,Manchester City,0,2014
2015/16,Harry Kane,25,FC Tottenham Hotspur,0,2015
2016/17,Harry Kane,29,FC Tottenham Hotspur,0,2016
2017/18,Mohamed Salah,32,FC Liverpool,0,2017
2018/19,Mohamed Salah,22,FC Liverpool,1,2018
2019/20,Jamie Vardy,23,Leicester City,0,2019
2020/21,Harry Kane,23,FC Tottenham Hotspur,0,2020
2021/22,Mohamed Salah,23,FC Liverpool,1,2021
2022/23,Erling Haaland,35,Manchester City,0,2022
2023/24,Erling Haaland,27,Manchester City,0,2023
